seriesId,seasonality,survey_name,measure_data_type,commerce_industry,commerce_sector,item,area,year,period,periodName,value
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2023', 'period': 'M02', 'periodName': 'February', 'latest': 'true', 'value': '301.648', 'footnotes': [{}]}",U.S. city average,2023,M02,February,301.648
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2023', 'period': 'M01', 'periodName': 'January', 'value': '300.536', 'footnotes': [{}]}",U.S. city average,2023,M01,January,300.536
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M12', 'periodName': 'December', 'value': '298.990', 'footnotes': [{}]}",U.S. city average,2022,M12,December,298.990
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M11', 'periodName': 'November', 'value': '298.598', 'footnotes': [{}]}",U.S. city average,2022,M11,November,298.598
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M10', 'periodName': 'October', 'value': '297.987', 'footnotes': [{}]}",U.S. city average,2022,M10,October,297.987
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M09', 'periodName': 'September', 'value': '296.539', 'footnotes': [{}]}",U.S. city average,2022,M09,September,296.539
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M08', 'periodName': 'August', 'value': '295.320', 'footnotes': [{}]}",U.S. city average,2022,M08,August,295.320
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M07', 'periodName': 'July', 'value': '294.628', 'footnotes': [{}]}",U.S. city average,2022,M07,July,294.628
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M06', 'periodName': 'June', 'value': '294.728', 'footnotes': [{}]}",U.S. city average,2022,M06,June,294.728
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M05', 'periodName': 'May', 'value': '291.268', 'footnotes': [{}]}",U.S. city average,2022,M05,May,291.268
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M04', 'periodName': 'April', 'value': '288.611', 'footnotes': [{}]}",U.S. city average,2022,M04,April,288.611
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M03', 'periodName': 'March', 'value': '287.472', 'footnotes': [{}]}",U.S. city average,2022,M03,March,287.472
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M02', 'periodName': 'February', 'value': '284.610', 'footnotes': [{}]}",U.S. city average,2022,M02,February,284.610
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2022', 'period': 'M01', 'periodName': 'January', 'value': '282.599', 'footnotes': [{}]}",U.S. city average,2022,M01,January,282.599
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M12', 'periodName': 'December', 'value': '280.887', 'footnotes': [{}]}",U.S. city average,2021,M12,December,280.887
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M11', 'periodName': 'November', 'value': '278.711', 'footnotes': [{}]}",U.S. city average,2021,M11,November,278.711
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M10', 'periodName': 'October', 'value': '276.522', 'footnotes': [{}]}",U.S. city average,2021,M10,October,276.522
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M09', 'periodName': 'September', 'value': '274.028', 'footnotes': [{}]}",U.S. city average,2021,M09,September,274.028
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M08', 'periodName': 'August', 'value': '272.870', 'footnotes': [{}]}",U.S. city average,2021,M08,August,272.870
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M07', 'periodName': 'July', 'value': '271.764', 'footnotes': [{}]}",U.S. city average,2021,M07,July,271.764
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M06', 'periodName': 'June', 'value': '270.559', 'footnotes': [{}]}",U.S. city average,2021,M06,June,270.559
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M05', 'periodName': 'May', 'value': '268.444', 'footnotes': [{}]}",U.S. city average,2021,M05,May,268.444
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M04', 'periodName': 'April', 'value': '266.670', 'footnotes': [{}]}",U.S. city average,2021,M04,April,266.670
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M03', 'periodName': 'March', 'value': '264.914', 'footnotes': [{}]}",U.S. city average,2021,M03,March,264.914
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M02', 'periodName': 'February', 'value': '263.638', 'footnotes': [{}]}",U.S. city average,2021,M02,February,263.638
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2021', 'period': 'M01', 'periodName': 'January', 'value': '262.650', 'footnotes': [{}]}",U.S. city average,2021,M01,January,262.650
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2020', 'period': 'M12', 'periodName': 'December', 'value': '262.035', 'footnotes': [{}]}",U.S. city average,2020,M12,December,262.035
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2020', 'period': 'M11', 'periodName': 'November', 'value': '260.813', 'footnotes': [{}]}",U.S. city average,2020,M11,November,260.813
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2020', 'period': 'M10', 'periodName': 'October', 'value': '260.286', 'footnotes': [{}]}",U.S. city average,2020,M10,October,260.286
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2020', 'period': 'M09', 'periodName': 'September', 'value': '260.029', 'footnotes': [{}]}",U.S. city average,2020,M09,September,260.029
CUSR0000SA0,Seasonally Adjusted,CPI for All Urban Consumers (CPI-U),All items,,,"{'year': '2020', 'period': 'M08', 'periodName': 'August', 'value': '259.411', 'footnotes': [{}]}",U.S. city average,2020,M08,August,259.411
