date,value
2023-01-01 00:00:02,5936
2023-01-01 00:00:01,5694
2022-01-01 00:00:12,5722
2022-01-01 00:00:11,6000
2022-01-01 00:00:10,6053
2022-01-01 00:00:09,5770
2022-01-01 00:00:08,6021
2022-01-01 00:00:07,5718
2022-01-01 00:00:06,5945
2022-01-01 00:00:05,5979
2022-01-01 00:00:04,5968
2022-01-01 00:00:03,5972
2022-01-01 00:00:02,6272
2022-01-01 00:00:01,6511
2021-01-01 00:00:12,6329
2021-01-01 00:00:11,6780
2021-01-01 00:00:10,7345
2021-01-01 00:00:09,7677
2021-01-01 00:00:08,8324
2021-01-01 00:00:07,8704
2021-01-01 00:00:06,9508
2021-01-01 00:00:05,9257
2021-01-01 00:00:04,9737
2021-01-01 00:00:03,9712
2021-01-01 00:00:02,9982
2021-01-01 00:00:01,10155
2020-01-01 00:00:12,10795
2020-01-01 00:00:11,10760
2020-01-01 00:00:10,11090
2020-01-01 00:00:09,12599
2020-01-01 00:00:08,13521
2020-01-01 00:00:07,16324
2020-01-01 00:00:06,17624
2020-01-01 00:00:05,20939
2020-01-01 00:00:04,23050
2020-01-01 00:00:03,7184
2020-01-01 00:00:02,5708
2020-01-01 00:00:01,5804
2019-01-01 00:00:12,5870
2019-01-01 00:00:11,5911
2019-01-01 00:00:10,5957
2019-01-01 00:00:09,5775
2019-01-01 00:00:08,5981
2019-01-01 00:00:07,6008
2019-01-01 00:00:06,5909
2019-01-01 00:00:05,5941
2019-01-01 00:00:04,5911
2019-01-01 00:00:03,6182
2019-01-01 00:00:02,6115
2019-01-01 00:00:01,6439
2018-01-01 00:00:12,6389
2018-01-01 00:00:11,6115
2018-01-01 00:00:10,6211
2018-01-01 00:00:09,6073
2018-01-01 00:00:08,6156
2018-01-01 00:00:07,6195
2018-01-01 00:00:06,6447
2018-01-01 00:00:05,6196
2018-01-01 00:00:04,6459
2018-01-01 00:00:03,6472
2018-01-01 00:00:02,6581
2018-01-01 00:00:01,6489
2017-01-01 00:00:12,6632
2017-01-01 00:00:11,6774
2017-01-01 00:00:10,6700
2017-01-01 00:00:09,6854
2017-01-01 00:00:08,7082
2017-01-01 00:00:07,6892
2017-01-01 00:00:06,6873
2017-01-01 00:00:05,7000
2017-01-01 00:00:04,7089
2017-01-01 00:00:03,7073
2017-01-01 00:00:02,7379
2017-01-01 00:00:01,7468
2016-01-01 00:00:12,7521
2016-01-01 00:00:11,7553
2016-01-01 00:00:10,7811
2016-01-01 00:00:09,7953
2016-01-01 00:00:08,7784
2016-01-01 00:00:07,7641
2016-01-01 00:00:06,7744
2016-01-01 00:00:05,7652
2016-01-01 00:00:04,8067
2016-01-01 00:00:03,7961
2016-01-01 00:00:02,7702
2016-01-01 00:00:01,7627
2015-01-01 00:00:12,7907
2015-01-01 00:00:11,8000
2015-01-01 00:00:10,7922
2015-01-01 00:00:09,7907
2015-01-01 00:00:08,7992
2015-01-01 00:00:07,8167
2015-01-01 00:00:06,8247
2015-01-01 00:00:05,8834
2015-01-01 00:00:04,8550
2015-01-01 00:00:03,8515
2015-01-01 00:00:02,8599
2015-01-01 00:00:01,8885
2014-01-01 00:00:12,8717
2014-01-01 00:00:11,9090
2014-01-01 00:00:10,8990
2014-01-01 00:00:09,9262
2014-01-01 00:00:08,9599
2014-01-01 00:00:07,9608
2014-01-01 00:00:06,9460
2014-01-01 00:00:05,9859
2014-01-01 00:00:04,9702
2014-01-01 00:00:03,10380
2014-01-01 00:00:02,10349
2014-01-01 00:00:01,10202
2013-01-01 00:00:12,10404
2013-01-01 00:00:11,10787
2013-01-01 00:00:10,11136
2013-01-01 00:00:09,11270
2013-01-01 00:00:08,11279
2013-01-01 00:00:07,11335
2013-01-01 00:00:06,11751
2013-01-01 00:00:05,11654
2013-01-01 00:00:04,11760
2013-01-01 00:00:03,11689
2013-01-01 00:00:02,11950
2013-01-01 00:00:01,12471
2012-01-01 00:00:12,12298
2012-01-01 00:00:11,12005
2012-01-01 00:00:10,12124
2012-01-01 00:00:09,12115
2012-01-01 00:00:08,12471
2012-01-01 00:00:07,12656
2012-01-01 00:00:06,12692
2012-01-01 00:00:05,12660
2012-01-01 00:00:04,12646
2012-01-01 00:00:03,12713
2012-01-01 00:00:02,12813
2012-01-01 00:00:01,12797
2011-01-01 00:00:12,13093
2011-01-01 00:00:11,13302
2011-01-01 00:00:10,13594
2011-01-01 00:00:09,13948
2011-01-01 00:00:08,13818
2011-01-01 00:00:07,13763
2011-01-01 00:00:06,13962
2011-01-01 00:00:05,13855
2011-01-01 00:00:04,13957
2011-01-01 00:00:03,13737
2011-01-01 00:00:02,13820
2011-01-01 00:00:01,14013
2010-01-01 00:00:12,14348
2010-01-01 00:00:11,15081
2010-01-01 00:00:10,14516
2010-01-01 00:00:09,14579
2010-01-01 00:00:08,14648
2010-01-01 00:00:07,14512
2010-01-01 00:00:06,14474
2010-01-01 00:00:05,14849
2010-01-01 00:00:04,15325
2010-01-01 00:00:03,15202
2010-01-01 00:00:02,15113
2010-01-01 00:00:01,15046
